case,true_label,word,weight
45,Violation,applicant,0.045034877130990136
45,Violation,rule,0.025410945351048164
45,Violation,pound,0.01986607857448015
45,Violation,emmerson,0.016131920237106138
45,Violation,number,0.015485862115006712
45,Violation,bound,0.014838518143748071
45,Violation,changed,0.014053545640302392
45,Violation,rejected,0.01375617379848412
45,Violation,refusal,0.013294673271473328
45,Violation,inquiry,0.012075213712249531
45,Violation,change,0.010998950775956797
45,Violation,taken,0.01065289384702238
45,Violation,purpose,-0.009277252587102127
45,Violation,provision,0.00766665642515929
45,Violation,decision,0.007593925523197911
45,Violation,decided,-0.007380755052267762
45,Violation,convicted,0.006945578184236663
45,Violation,considering,0.006854878190529679
45,Violation,section,0.006405463811001665
45,Violation,work,0.00599684597617211
45,Violation,retrospective,0.0057178858340503095
45,Violation,according,0.005163004294466371
45,Violation,nevertheless,0.004858013380098277
45,Violation,legislation,-0.004096826350389261
45,Violation,reason,-0.003398807321866138
45,Violation,imprisonment,-0.0021750011267514654
45,Violation,state,0.0020793882264337105
45,Violation,debated,0.001437254892736061
45,Violation,generally,-0.0013053136482974127
45,Violation,nicolas,0.0012579060216433033
45,Violation,attorney,0.00014630396745012587
45,Violation,ultimate,-8.183487325809842e-05
0,Violation,applicant,0.04885421574835156
0,Violation,circumstance,0.04056257342398014
0,Violation,military,0.030570072629189444
0,Violation,defence,0.02626905224569023
0,Violation,ankara,0.01931615374927648
0,Violation,born,0.01860528328713093
0,Violation,life,0.018014827470718305
0,Violation,public,0.01662871801031502
0,Violation,disciplinary,-0.014699298185898074
0,Violation,dismissed,0.012614147554487705
0,Violation,submitted,0.011722245101905848
0,Violation,communicated,0.011027726884339183
0,Violation,request,-0.010654533714126559
0,Violation,job,0.01005290033952238
0,Violation,misconduct,-0.009743309259230386
0,Violation,administrative,0.008533906558594479
0,Violation,rejected,0.007891702812691978
0,Violation,dismissal,0.007858828773059105
0,Violation,instituted,-0.007836519022877655
0,Violation,written,-0.007487466907218685
0,Violation,opinion,0.007067401616942857
0,Violation,classified,0.006841523527138716
0,Violation,disclosed,0.006016082425871063
0,Violation,principal,0.00600564943437649
0,Violation,article,0.005932080896045819
0,Violation,subsequently,0.005872858525152467
0,Violation,application,-0.005038090458920985
0,Violation,secret,-0.004989992241108508
29,Violation,applicant,0.028683857974799727
29,Violation,london,0.01734159381827762
29,Violation,unrepresented,0.010030779764646405
29,Violation,imposed,0.009500155097204293
29,Violation,necessary,0.009213774655564206
29,Violation,far,0.008351279812235836
29,Violation,needed,0.008297588898074266
29,Violation,hopeless,0.00817081926965523
29,Violation,money,0.007847750118387231
29,Violation,sitting,0.007191804501636516
29,Violation,although,0.006530939921361639
29,Violation,establish,0.0061219233831743365
29,Violation,noting,-0.005655275072518654
29,Violation,result,-0.005472527929588777
29,Violation,circumstance,0.005047291426259212
29,Violation,heard,0.004974142235996492
29,Violation,second,0.004704730816077753
29,Violation,inter,0.004524136734631476
29,Violation,separated,-0.0038348924908079398
29,Violation,sum,0.0036823833717880886
29,Violation,echr,-0.0026711706066825766
29,Violation,breach,0.0026370042419137318
29,Violation,untutored,0.002441629713454069
29,Violation,since,0.0023149014693132027
29,Violation,benefited,-0.001942964370911379
29,Violation,decision,0.0016590288397802517
29,Violation,around,0.001649925495314522
29,Violation,half,-0.0016432695798179553
29,Violation,accepted,0.0014097158927355211
29,Violation,formal,0.001005236997799058
29,Violation,whether,0.0009333430843288428
29,Violation,attention,0.0006880723687441687
29,Violation,decline,0.00012685083155687514
46,Violation,applicant,0.048013323904960895
46,Violation,circumstance,0.030065421799378662
46,Violation,directed,-0.02717371843645207
46,Violation,follows,-0.024239238916457642
46,Violation,judge,0.021676009924558367
46,Violation,june,0.020030389838317324
46,Violation,pay,0.01913776204836986
46,Violation,contrary,0.01563930654803659
46,Violation,officer,0.015505797637027323
46,Violation,defending,-0.015414148133262168
46,Violation,martial,0.015370931611709892
46,Violation,compensation,-0.015244393674153651
46,Violation,responsible,-0.014201075868381348
46,Violation,discipline,0.013532403383629432
46,Violation,advisor,0.012969600000075125
46,Violation,staff,0.012934733561254167
46,Violation,navy,-0.012835351031546267
46,Violation,commander,-0.011996555056842002
46,Violation,beginning,-0.011955931757349204
46,Violation,chose,0.011946010276458864
46,Violation,year,0.011775988273072725
46,Violation,maliciously,0.011261339073758033
46,Violation,lieutenant,0.010182380378376148
46,Violation,grievous,-0.009794853421433438
46,Violation,advocate,0.00786934984432855
46,Violation,fleet,-0.007603684111971286
46,Violation,four,0.0073887405770962445
46,Violation,conducted,-0.0066852406362032
46,Violation,royal,-0.0062215744510105255
22,Violation,stadium,0.030687390640024303
22,Violation,applicant,0.029765901446212387
22,Violation,gbp,0.026707191950616216
22,Violation,isleham,0.025368604746009188
22,Violation,prior,-0.024966061366058123
22,Violation,solicitor,0.022125515035968928
22,Violation,retainer,0.021723691070404054
22,Violation,act,-0.02122062068056856
22,Violation,order,0.020494281921703085
22,Violation,born,0.019729916270494748
22,Violation,proceeding,-0.01911578416014293
22,Violation,initially,0.017879523596756257
22,Violation,romford,0.017623574108823384
22,Violation,ordered,-0.017354410949329477
22,Violation,including,0.016663779155713602
22,Violation,fact,0.01654095650493214
22,Violation,emitted,0.015254314101111333
22,Violation,cost,-0.015215807517668567
22,Violation,paragraph,0.014366220283159262
22,Violation,june,0.014225216933196122
22,Violation,judge,-0.013545306492032418
22,Violation,conditional,0.013450044669884188
22,Violation,claimant,-0.013018317526574306
22,Violation,limiting,0.012350676700374055
22,Violation,nuisance,0.011706727586998871
22,Violation,level,-0.008298232290069499
22,Violation,ordinary,-0.007934539550391246
22,Violation,development,0.0066902743557893515
22,Violation,british,-0.004297477095171688
22,Violation,sum,0.00417266001605061
22,Violation,sport,-0.004169463661258602
42,Violation,applicant,0.05417904832329458
42,Violation,circumstance,0.029011378824475808
42,Violation,prepared,0.02093668059928738
42,Violation,caught,0.020868047775838356
42,Violation,perm,0.020655196125463605
42,Violation,given,0.01964314925062287
42,Violation,either,0.01932854857657894
42,Violation,convicted,0.019068596881952848
42,Violation,region,0.018196782567792412
42,Violation,november,0.017717302975608803
42,Violation,home,0.016949200240370464
42,Violation,january,0.01529914454017997
42,Violation,sick,0.015270647808006174
42,Violation,town,0.01450356076302622
42,Violation,murder,0.013813447889462066
42,Violation,criminal,-0.01287783325434967
42,Violation,person,-0.012810807600191867
42,Violation,enter,-0.01243856718976943
42,Violation,examined,-0.01218592681846112
42,Violation,autopsy,-0.011861882311288239
42,Violation,victim,-0.011852364772738225
42,Violation,since,-0.01178924164934573
42,Violation,based,0.011476009326912727
42,Violation,pawnshop,-0.010841075972115352
42,Violation,lawyer,0.008972337841225921
13,Violation,applicant,0.04616326880745121
13,Violation,solicitor,0.03381312913288529
13,Violation,take,0.01700685387218249
13,Violation,october,0.014824396280063348
13,Violation,document,0.011980351177795657
13,Violation,finally,0.01177926192519805
13,Violation,lodge,0.010837207932237839
13,Violation,easy,0.010276161530325244
13,Violation,context,0.01000736595281925
13,Violation,precise,0.009956609357960111
13,Violation,decided,0.009328126451082778
13,Violation,set,0.009122699500005303
13,Violation,try,0.008949221129669914
13,Violation,correspondence,0.008921846799383551
13,Violation,novelty,0.008623032170778843
13,Violation,hearing,0.007930258462661655
13,Violation,refused,-0.007420112290525589
13,Violation,sum,0.00716679828739956
13,Violation,various,-0.005819748138612888
13,Violation,scurrilous,0.005499150287782625
13,Violation,entirety,-0.004312752767390445
13,Violation,day,-0.004237816633021841
13,Violation,issue,0.0038601755830835797
13,Violation,expense,-0.0025839157957513667
13,Violation,party,0.002188147206642211
13,Violation,obtained,0.0019885539577283655
13,Violation,incidental,0.001535386341722918
13,Violation,clerk,0.0015027620845454394
13,Violation,time,0.001471917065602674
13,Violation,date,0.0009738152135851026
93,Violation,circumstance,0.037225202772466645
93,Violation,applicant,0.03547811767687223
93,Violation,security,0.03151433574632946
93,Violation,monopoly,-0.026668193995819843
93,Violation,unspecified,0.020783049064314076
93,Violation,march,0.01816599390158663
93,Violation,subsequent,0.01639685843836099
93,Violation,served,0.01589235347936102
93,Violation,assize,0.0156557617117463
93,Violation,pending,-0.015081706596879504
93,Violation,dismissed,0.014786845853904435
93,Violation,ordered,0.014690367694402321
93,Violation,july,0.013708675744953243
93,Violation,reference,0.01291127138221407
93,Violation,public,0.012267698419351325
93,Violation,post,-0.012021503564024405
93,Violation,submission,-0.011930119703895087
93,Violation,trial,0.01113318236715355
93,Violation,indictment,0.009904714581127246
93,Violation,general,0.009299814551393306
93,Violation,born,0.008922106125629652
93,Violation,prosecution,-0.0072229673371946865
93,Violation,factory,-0.006668333900735184
93,Violation,rejected,-0.006345723929574623
93,Violation,file,-0.0031402187801150908
6,Violation,circumstance,0.039360128128168706
6,Violation,applicant,0.0348240955697698
6,Violation,rectification,0.024801079182017603
6,Violation,lira,0.0247897254603474
6,Violation,born,0.02182216903153816
6,Violation,turkish,0.021139829107137673
6,Violation,live,0.019181052424221242
6,Violation,civil,0.016235204490577762
6,Violation,awarded,0.01467938805916892
6,Violation,applicant,0.014631411943394792
6,Violation,partially,0.014494229798352739
6,Violation,october,0.012689216129249104
6,Violation,amount,-0.011852536173791985
6,Violation,cassation,0.011503222438488827
6,Violation,istanbul,0.011437388992512756
6,Violation,upheld,0.011410729998461417
6,Violation,interest,0.011379203910322024
6,Violation,party,-0.011307170647136731
6,Violation,initiated,0.011200620445284432
6,Violation,request,-0.010809989196417371
6,Violation,accident,-0.006879702151752698
6,Violation,november,-0.005561997688289591
6,Violation,try,0.00549689564930787
6,Violation,plus,-0.0048786947076617775
6,Violation,july,-0.0024552421186418458
15,Violation,applicant,0.10004151547339438
15,Violation,circumstance,0.06156978605059884
15,Violation,born,0.04007673212475764
15,Violation,crown,0.03313180677449894
15,Violation,october,0.03242309387564535
15,Violation,stated,-0.029815684749565117
15,Violation,positively,0.02748029885114884
15,Violation,threat,0.0271160640363233
15,Violation,taken,0.021593042231634964
15,Violation,day,-0.02032016261557183
15,Violation,relationship,-0.019327268764844707
15,Violation,back,0.017141533164724415
